username,filename,name,description,image
xmp3,adele,Adele,Artist,adele.webp
xmp3,akon,Akon,Artist,akon.webp
xmp3,alok,Alok,Artist,alok.webp
xmp3,alphaville,Alphaville,Artist,alphaville.webp
xmp3,arctic_monkeys,Arctic Monkeys,Artist,arctic_monkeys.webp
xmp3,avicii,Avicii,Artist,avicii.webp
xmp3,bee_gees,Bee Gees,Artist,bee_gees.webp
xmp3,bon_jovi,Bon Jovi,Artist,bon_jovi.webp
xmp3,bruno_mars,Bruno Mars,Artist,bruno_mars.webp
xmp3,bryan_adams,Bryan Adams,Artist,bryan_adams.webp
xmp3,calvin_harris,Calvin Harris,Artist,calvin_harris.webp
xmp3,coldplay,Coldplay,Artist,coldplay.webp
xmp3,cristiano_araujo,Cristiano Araújo,Artist,cristiano_araujo.webp
xmp3,cyndi_lauper,Cyndi Lauper,Artist,cyndi_lauper.webp
xmp3,djavan,Djavan,Artist,djavan.webp
xmp3,ed_sheeran,Ed Sheeran,Artist,ed_sheeran.webp
xmp3,eminem,Eminem,Artist,eminem.webp
xmp3,europe,Europe,Artist,europe.webp
xmp3,evanescence,Evanescence,Artist,evanescence.webp
xmp3,george_michael,George Michael,Artist,george_michael.webp
xmp3,gotye,Gotye,Artist,gotye.webp
xmp3,guilherme_arantes,Guilherme Arantes,Artist,guilherme_arantes.webp
xmp3,guns_n_roses,Guns N' Roses,Artist,guns_n_roses.webp
xmp3,gusttavo_lima,Gusttavo Lima,Artist,gusttavo_lima.webp
xmp3,harry_styles,Harry Styles,Artist,harry_styles.webp
xmp3,imagine_dragons,Imagine Dragons,Artist,imagine_dragons.webp
xmp3,jorge_vercillo,Jorge Vercillo,Artist,jorge_vercillo.webp
xmp3,justin_bieber,Justin Bieber,Artist,justin_bieber.webp
xmp3,justin_timberlake,Justin Timberlake,Artist,justin_timberlake.webp
xmp3,keane,Keane,Artist,keane.webp
xmp3,lagum,Lagum,Artist,lagum.webp
xmp3,legiao_urbana,Legião Urbana,Artist,legiao_urbana.webp
xmp3,lewis_capaldi,Lewis Capaldi,Artist,lewis_capaldi.webp
xmp3,linkin_park,Linkin Park,Artist,linkin_park.webp
xmp3,lionel_richie,Lionel Richie,Artist,lionel_richie.webp
xmp3,luan_santana,Luan Santana,Artist,luan_santana.webp
xmp3,maroon_5,Maroon 5,Artist,maroon_5.webp
xmp3,marshmello,Marshmello,Artist,marshmello.webp
xmp3,michael_jackson,Michael Jackson,Artist,michael_jackson.webp
xmp3,nirvana,Nirvana,Artist,nirvana.webp
xmp3,nocopyrightsounds,NoCopyrightSounds,Playlist,nocopyrightsounds.webp
xmp3,paul_young,Paul Young,Artist,paul_young.webp
xmp3,queen,Queen,Artist,queen.webp
xmp3,radiohead,Radiohead,Artist,radiohead.webp
xmp3,renato_russo,Renato Russo,Artist,renato_russo.webp
xmp3,renno,Renno,Artist,renno.webp
xmp3,rick_astley,Rick Astley,Artist,rick_astley.webp
xmp3,rick_james,Rick James,Artist,rick_james.webp
xmp3,roxette,Roxette,Artist,roxette.webp
xmp3,sean_kingston,Sean Kingston,Artist,sean_kingston.webp
xmp3,spandau_ballet,Spandau Ballet,Artist,spandau_ballet.webp
xmp3,stevie_wonder,Stevie Wonder,Artist,stevie_wonder.webp
xmp3,survivor,Survivor,Artist,survivor.webp
xmp3,tarcisio_do_acordeon,Tarcísio do Acordeon,Artist,tarcisio_do_acordeon.webp
xmp3,tears_for_fears,Tears For Fears,Artist,tears_for_fears.webp
xmp3,the_beatles,The Beatles,Artist,the_beatles.webp
xmp3,the_chainsmokers,The Chainsmokers,Artist,the_chainsmokers.webp
xmp3,the_jackson_5,The Jackson 5,Artist,the_jackson_5.webp
xmp3,the_jacksons,The Jacksons,Artist,the_jacksons.webp
xmp3,the_neighbourhood,The Neighbourhood,Artist,the_neighbourhood.webp
xmp3,the_outfield,The Outfield,Artist,the_outfield.webp
xmp3,the_weeknd,The Weeknd,Artist,the_weeknd.webp
xmp3,twenty_one_pilots,Twenty One Pilots,Artist,twenty_one_pilots.webp
xmp3,usa_for_africa,U.S.A. For Africa,Artist,usa_for_africa.webp
xmp3,ze_vaqueiro,Zé Vaqueiro,Artist,ze_vaqueiro.webp
